Year,Access to electricity (% of population),Adjusted net national income (annual % growth),Adjusted savings: carbon dioxide damage (% of GNI),Agricultural land (% of land area),"Air transport, passengers carried",Employment in industry (% of total employment) (modeled ILO estimate),Employment in agriculture (% of total employment) (modeled ILO estimate),GDP growth (annual %),"Access to electricity, urban (% of urban population)",Urban population growth (annual %),Rural population growth (annual %),"Access to electricity, rural (% of rural population)"
2000,31.15,35.52711398,1.638693091,14.52261307,34425,7.117737,70.01189,3.355068285,96.74,6.957880564,1.422325715,8.796583659
2001,40.24427795,9.710071031,1.520103969,14.54773869,35114,7.611797,69.19609,8.348954483,97.09590149,6.785950001,1.258626018,19.76785881
2002,44.1191864,10.37598349,1.574537455,14.57286432,40859,7.988523,68.35542,10.99228184,97.20594788,6.62211334,1.093887397,23.91198585
2003,41.1,6.488048366,1.29152055,14.64824121,36365,8.137495,67.55691,7.823302361,97.4,6.460370252,0.929923311,18.45111951
2004,51.8713913,6.253171052,1.025839616,15.32124774,45456,8.353464,66.57928,6.008742236,97.44752502,6.312419797,0.770613665,32.49184594
2005,59.80811164,8.788973428,1.214389326,15.55736286,49092,8.317404,65.28504,7.287249352,96.77638276,5.747807397,0.406787936,43.22633744
2006,59.67326355,3.314007309,1.129996309,15.13760264,51056,7.547176,62.80341,6.999738095,97.7636261,3.870600751,0.399049872,41.98465314
2007,71.8,15.88780721,0.878649991,14.77031246,53609,6.431598,61.11551,18.36085406,98.73,3.592242126,0.118470935,58.85203967
2008,67.55329895,5.668701596,0.901739333,13.67631241,52805,5.820717,59.17395,4.799460612,98.17562103,3.51958628,0.042354613,52.30910196
2009,71.51531219,5.506123751,0.863978354,13.64220689,49056,5.635456,56.90686,6.748333748,98.40424347,3.446702648,-0.021283666,57.65729019
2010,73.28291087,8.302550792,0.924254112,13.64220689,181537.3717,6.097434,54.70019,11.945896,99.30555556,3.393386179,-0.076484831,59.39782419
2011,81.78115845,7.392819653,1.199952378,13.63171288,226153.1266,8.560232,55.87181,7.982617041,99.35774994,3.35254676,-0.120495307,72.07125184
2012,91.5,3.901870388,1.449740291,13.63171288,193405,8.080503,58.10787,5.118400858,99.6,3.274292891,-0.138291674,86.86994576
2013,87.42046356,3.583598874,1.68612634,13.63171288,207996,10.95808,56.34438,2.119972633,99.50635529,3.184508104,-0.162055324,80.27691996
2014,91.39260101,5.500083821,1.78855938,13.78912296,302160,10.82216,56.65078,5.77649568,99.51663971,3.068313219,-0.211743422,86.43065438
2015,95.3597641,4.817766745,1.798989672,13.78912296,162864,9.661245,57.98573,6.642232105,99.69788361,2.919585661,-0.29684501,92.62354797
2016,99.32277679,6.565578729,2.234218015,13.60633389,224101,9.881027,57.43616,8.127033538,99.86528015,2.789410829,-0.361564681,98.96964581
2017,97.7,5.901006416,2.224080728,13.44903523,254643,9.947921,56.83745,4.651834675,99.1,2.701527654,-0.382768198,96.76015473
2018,99.95767212,4.055642668,2.42820405,13.45044573,275849,9.900968,56.53483,3.055129837,99.99157715,2.583305004,-0.437062568,99.93421311
2019,100,5.395340601,2.80256849,13.45044573,276092,9.793658,56.13877,5.755169993,100,2.43936953,-0.519287432,100
2020,100,-8.32615622,3.021442281,13.45044573,48825,9.900593,56.46911,-10.00969933,100,2.333262264,-0.55767301,100
